SYMBOL_NAME,Time,ASK_PRICE,ASK_SIZE,BID_PRICE,BID_SIZE
MILLBURN::::CL.NY.J.2025,2025-03-02T19:28:00.000000000-0500,70.21,3,70.2,3
MILLBURN::::CL.NY.J.2025,2025-03-02T19:29:00.000000000-0500,70.22,8,70.2,12
MILLBURN::::CL.NY.J.2025,2025-03-02T19:30:00.000000000-0500,70.22,8,70.21,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:31:00.000000000-0500,70.23,12,70.21,9
MILLBURN::::CL.NY.J.2025,2025-03-02T19:32:00.000000000-0500,70.23,5,70.22,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:33:00.000000000-0500,70.24,5,70.23,4
MILLBURN::::CL.NY.J.2025,2025-03-02T19:34:00.000000000-0500,70.24,12,70.22,9
MILLBURN::::CL.NY.J.2025,2025-03-02T19:35:00.000000000-0500,70.23,9,70.21,11
MILLBURN::::CL.NY.J.2025,2025-03-02T19:36:00.000000000-0500,70.23,4,70.22,4
MILLBURN::::CL.NY.J.2025,2025-03-02T19:37:00.000000000-0500,70.23,5,70.22,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:38:00.000000000-0500,70.23,8,70.21,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:39:00.000000000-0500,70.24,8,70.22,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:40:00.000000000-0500,70.24,9,70.22,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:41:00.000000000-0500,70.24,8,70.22,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:42:00.000000000-0500,70.23,4,70.22,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:43:00.000000000-0500,70.24,8,70.22,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:44:00.000000000-0500,70.3,6,70.29,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:45:00.000000000-0500,70.3,6,70.29,12
MILLBURN::::CL.NY.J.2025,2025-03-02T19:46:00.000000000-0500,70.3,7,70.29,11
MILLBURN::::CL.NY.J.2025,2025-03-02T19:47:00.000000000-0500,70.31,6,70.3,8
MILLBURN::::CL.NY.J.2025,2025-03-02T19:48:00.000000000-0500,70.33,6,70.32,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:49:00.000000000-0500,70.34,7,70.32,11
MILLBURN::::CL.NY.J.2025,2025-03-02T19:50:00.000000000-0500,70.31,4,70.3,6
MILLBURN::::CL.NY.J.2025,2025-03-02T19:51:00.000000000-0500,70.31,6,70.29,15
MILLBURN::::CL.NY.J.2025,2025-03-02T19:52:00.000000000-0500,70.31,5,70.29,20
MILLBURN::::CL.NY.J.2025,2025-03-02T19:53:00.000000000-0500,70.33,6,70.31,9
MILLBURN::::CL.NY.J.2025,2025-03-02T19:54:00.000000000-0500,70.33,6,70.32,2
MILLBURN::::CL.NY.J.2025,2025-03-02T19:55:00.000000000-0500,70.34,13,70.32,10
MILLBURN::::CL.NY.J.2025,2025-03-02T19:56:00.000000000-0500,70.34,13,70.33,5
MILLBURN::::CL.NY.J.2025,2025-03-02T19:57:00.000000000-0500,70.31,1,70.3,15
MILLBURN::::CL.NY.J.2025,2025-03-02T19:58:00.000000000-0500,70.3,2,70.29,7
MILLBURN::::CL.NY.J.2025,2025-03-02T19:59:00.000000000-0500,70.3,2,70.29,18
MILLBURN::::CL.NY.J.2025,2025-03-02T20:00:00.000000000-0500,70.35,4,70.34,2
MILLBURN::::CL.NY.J.2025,2025-03-02T20:01:00.000000000-0500,70.39,4,70.37,11
MILLBURN::::CL.NY.J.2025,2025-03-02T20:02:00.000000000-0500,70.39,17,70.38,10
MILLBURN::::CL.NY.J.2025,2025-03-02T20:03:00.000000000-0500,70.43,8,70.41,15
MILLBURN::::CL.NY.J.2025,2025-03-02T20:04:00.000000000-0500,70.43,4,70.42,7
MILLBURN::::CL.NY.J.2025,2025-03-02T20:05:00.000000000-0500,70.47,5,70.46,18
MILLBURN::::CL.NY.J.2025,2025-03-02T20:06:00.000000000-0500,70.44,7,70.43,7
MILLBURN::::CL.NY.J.2025,2025-03-02T20:07:00.000000000-0500,70.44,6,70.43,3
MILLBURN::::CL.NY.J.2025,2025-03-02T20:08:00.000000000-0500,70.43,1,70.42,14
MILLBURN::::CL.NY.J.2025,2025-03-02T20:09:00.000000000-0500,70.43,3,70.42,10
MILLBURN::::CL.NY.J.2025,2025-03-02T20:10:00.000000000-0500,70.43,5,70.42,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:11:00.000000000-0500,70.44,5,70.43,4
MILLBURN::::CL.NY.J.2025,2025-03-02T20:12:00.000000000-0500,70.44,13,70.43,11
MILLBURN::::CL.NY.J.2025,2025-03-02T20:13:00.000000000-0500,70.44,3,70.43,10
MILLBURN::::CL.NY.J.2025,2025-03-02T20:14:00.000000000-0500,70.44,2,70.43,12
MILLBURN::::CL.NY.J.2025,2025-03-02T20:15:00.000000000-0500,70.46,5,70.45,9
